id,domain,title,status
"COR-01","corpus","Pinned imported aviation sources","proposed"
"COR-02","corpus","Genuine generated lab corpus","proposed"
"COR-03","corpus","Separated evaluation fixtures","proposed"
"ING-01","ingestion","Traceable source coverage","proposed"
"ING-02","ingestion","Atomic publication","proposed"
"ING-03","ingestion","Quality and access metadata validation","proposed"
"CHK-01","chunking","Preserve policy structure","proposed"
"CHK-02","chunking","Enforce hard boundaries","proposed"
"CHK-03","chunking","Detect model input overflow","proposed"
"EMB-01","embeddings","Compatible query and document vectors","proposed"
"EMB-02","embeddings","Real vector persistence and retrieval","proposed"
"EMB-03","embeddings","Safe index refresh","proposed"
"DGS-01","governance","Server-authoritative identity","proposed"
"DGS-02","governance","Default-deny policy access","proposed"
"DGS-03","governance","Complete evidence-path enforcement","proposed"
"DGS-04","governance","Revocation handling","proposed"
"DGS-05","governance","Derived evidence restrictions","proposed"
"DGS-06","governance","No inferred organizational privilege","proposed"
"RET-01","retrieval","Explicit retrieval modes","proposed"
"RET-02","retrieval","Hybrid candidate merging","proposed"
"RET-03","retrieval","Authorized candidate recall","proposed"
"RET-04","retrieval","Independent reranking","proposed"
"RET-05","retrieval","Verified graph evidence","proposed"
"ANS-01","answering","Grounded attributed answers","proposed"
"ANS-02","answering","Missing-information handling","proposed"
"ANS-03","answering","Conflict visibility","proposed"
"ANS-04","answering","Source instruction isolation","proposed"
"ANS-05","answering","Context completeness","proposed"
"AGT-01","agents","Local bounded tool orchestration","proposed"
"AGT-02","agents","Delegation preserves authorization","proposed"
"AGT-03","agents","Honest capability reporting","proposed"
"UI-01","interface","Evidence inspection","proposed"
"UI-02","interface","Scoped corpus selection","proposed"
"UI-03","interface","Accessible and honest status","proposed"
"EVA-01","evaluation","Fixed labeled evaluation","proposed"
"EVA-02","evaluation","No benchmark contamination","proposed"
"EVA-03","evaluation","Source-defect diagnosis","proposed"
"EVA-04","evaluation","Live submission CI","proposed"
"EVA-05","evaluation","Rubric evidence package","proposed"
